last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Cabrera, Miguel,408234,2021,326,.679,.297,.306,91.5,8.7,50.7,
Molina, Yadier,425877,2021,300,.679,.294,.310,88.4,5.7,34.1,
Cruz Jr., Nelson,443558,2021,366,.894,.374,.384,93.6,14.4,54.8,
Peralta, David,444482,2021,370,.728,.316,.295,89.2,5.5,42.1,
Blackmon, Charlie,453568,2021,370,.748,.337,.352,87.3,5.3,40.1,
Maldonado, Martin,455117,2021,269,.582,.263,.269,88.4,5.1,32.7,
Solano, Donovan,456781,2021,269,.675,.299,.309,87,5.1,31.3,
McCutchen, Andrew,457705,2021,393,.827,.355,.361,88.4,10.4,38.8,
Upton, Justin,457708,2021,290,.761,.328,.332,91.6,12.2,44.8,
Turner, Justin,457759,2021,406,.882,.380,.369,91,8.7,42.9,
Posey III, Buster,457763,2021,262,.958,.408,.378,89.3,9.5,43.6,
Votto, Joey,458015,2021,308,.930,.393,.404,92.6,16,50.5,
Gardner, Brett,458731,2021,275,.612,.281,.279,86.5,3.5,31.2,
Andrus, Elvis,462101,2021,379,.581,.255,.299,87.9,2.4,34.7,
Santana, Carlos,467793,2021,428,.757,.332,.348,90.4,8.1,44.6,
Lowrie, Jed,476704,2021,381,.734,.319,.351,91,10.4,46.5,
Brantley Jr., Michael,488726,2021,348,.856,.371,.376,89.9,6.4,42.9,
Gurriel, Yuli,493329,2021,404,.861,.369,.326,90.2,3.5,41.8,
Rojas, Miguel,500743,2021,329,.728,.319,.288,86.9,2,33.7,
Escobar, Eduardo,500871,2021,400,.778,.331,.325,87.5,9.8,35.3,
Pham, Tommy,502054,2021,390,.783,.346,.363,90.6,10.2,45.5,
Martinez, J.D.,502110,2021,418,.907,.382,.371,92.3,11.7,49.5,
Goldschmidt, Paul,502671,2021,429,.788,.341,.382,92.9,12.2,53.7,
Altuve, Jose,514888,2021,423,.860,.366,.342,88.4,7.4,37.4,
Hernandez, Cesar,514917,2021,420,.738,.319,.328,88.6,9.4,36.1,
Segura, Jean,516416,2021,323,.801,.347,.315,87.9,5.6,37.8,
Castro, Starlin,516770,2021,346,.707,.310,.323,88.4,5.4,40.1,
Marte, Starling,516782,2021,279,.854,.375,.355,87.2,9.4,38.3,
Donaldson, Josh,518626,2021,329,.840,.358,.386,94.1,17.7,53.5,
Freeman, Freddie,518692,2021,445,.901,.380,.416,92.3,12.4,50.3,
Heyward, Jason,518792,2021,268,.597,.266,.282,87.9,5.4,41.4,
LeMahieu, DJ,518934,2021,438,.702,.313,.336,90.4,4,44.1,
Rizzo, Anthony,519203,2021,376,.792,.343,.354,91.1,9.4,43.4,
Stanton, Giancarlo,519317,2021,344,.801,.348,.340,95.4,13.6,57.1,
Galvis, Freddy,520471,2021,274,.717,.311,.271,87.7,5.7,32.5,
Perez, Salvador,521692,2021,414,.824,.348,.361,92.9,15.4,55.6,
Flores, Wilmer,527038,2021,301,.773,.336,.319,88.1,7,32.8,
Garcia, Avisail,541645,2021,357,.771,.330,.351,90.5,11.7,48.1,
Villar, Jonathan,542340,2021,277,.735,.319,.304,88.3,7.8,34.1,
Aguilar, Jesus,542583,2021,387,.806,.342,.346,90.6,9,44.8,
Berti, Jon,542932,2021,271,.623,.283,.301,87.1,2.3,38.3,
Crawford, Brandon,543063,2021,315,.912,.382,.372,89.9,15,46,
Cron, C.J.,543068,2021,315,.814,.354,.364,88.2,10.6,37.7,
Grossman, Robbie,543257,2021,438,.762,.337,.341,88.6,8.3,36,
Harrison, Josh,543281,2021,359,.799,.351,.339,87.6,4.1,32.8,
Hosmer, Eric,543333,2021,367,.715,.317,.329,91.1,5.5,48,
McCann, James,543510,2021,288,.679,.306,.292,88.1,6.5,42.9,
Semien, Marcus,543760,2021,443,.874,.372,.327,90.3,9.3,43.7,
Vazquez, Christian,543877,2021,336,.647,.285,.271,87.2,2.8,31,
Wong, Kolten,543939,2021,264,.809,.348,.320,87.9,6.1,36.2,
Garcia, Leury,544725,2021,312,.664,.298,.272,86.7,3.4,33,
Grichuk, Randal,545341,2021,384,.750,.318,.311,90.3,10.7,44.6,
Herrera, Odubel,546318,2021,278,.667,.290,.265,88.6,2.9,36.8,
Harper, Bryce,547180,2021,340,.944,.401,.412,91.6,16.9,46.4,
Abreu, Jose,547989,2021,409,.788,.338,.341,91.9,11,49.6,
Narvaez, Omar,553882,2021,284,.835,.362,.328,86.2,7.7,28.1,
Suarez, Eugenio,553993,2021,413,.616,.269,.306,87.8,13.8,35,
Polanco, Gregory,570256,2021,286,.672,.286,.319,89.4,11.4,45.7,
Urshela, Gio,570482,2021,328,.752,.324,.321,89,8.8,42.5,
Schoop, Jonathan,570731,2021,425,.791,.339,.317,88.4,8.7,40.1,
Arenado, Nolan,571448,2021,415,.819,.344,.319,89,7.3,37.2,
Barnhart, Tucker,571466,2021,257,.735,.325,.280,87.9,3.8,32.5,
Farmer, Kyle,571657,2021,322,.727,.318,.308,86.9,4.7,31.8,
Haniger, Mitch,571745,2021,424,.818,.347,.351,89.3,12.4,44.5,
Hernandez, Enrique,571771,2021,372,.783,.336,.331,90.4,8.6,40.5,
Muncy, Max,571970,2021,365,.970,.411,.437,91.1,15.8,44,
Myers, Wil,571976,2021,332,.776,.335,.298,87.7,8.5,39.3,
Naquin, Tyler,571980,2021,331,.730,.315,.327,89.6,9,41.7,
Pollock, AJ,572041,2021,268,.871,.369,.358,90.6,10.6,47.6,
Seager, Kyle,572122,2021,421,.724,.310,.324,89.6,12.4,42.2,
Taylor, Michael A.,572191,2021,332,.664,.292,.290,88.9,6.3,40.8,
Walker, Christian,572233,2021,253,.634,.281,.300,88.1,4.6,40,
Yastrzemski, Mike,573262,2021,349,.785,.334,.310,89.3,9.7,37.9,
Contreras, Willson,575929,2021,364,.786,.343,.343,91.1,9.9,47.9,
Iglesias, Jose,578428,2021,347,.711,.309,.302,85.6,3.9,31.1,
Bryant, Kris,592178,2021,374,.861,.369,.352,87.6,10.1,38.7,
Canha, Mark,592192,2021,374,.829,.366,.351,88.4,8.6,39.5,
Castellanos, Nick,592206,2021,368,.965,.406,.373,90.1,10,47.5,
Judge, Aaron,592450,2021,371,.898,.385,.429,95.9,19.2,57.6,
Machado, Manny,592518,2021,403,.859,.361,.370,93.6,13.1,54.3,
Pederson, Joc,592626,2021,343,.724,.312,.318,90.9,9.2,47.4,
Realmuto, J.T.,592663,2021,326,.791,.343,.348,90.2,9.6,46.4,
Renfroe, Hunter,592669,2021,358,.763,.326,.351,90,13.2,43.2,
Rosario, Eddie,592696,2021,306,.683,.297,.296,88.6,4.6,35.3,
Simmons, Andrelton,592743,2021,306,.560,.256,.270,83.8,0.9,23,
Yelich, Christian,592885,2021,275,.748,.335,.342,90.3,8.9,48.6,
