last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Cabrera, Miguel,408234,2021,526,.701,.305,.311,91.4,8.3,49,
Cruz Jr., Nelson,443558,2021,584,.829,.346,.363,92.9,13.6,52.5,
Peralta, David,444482,2021,538,.728,.314,.291,89.3,5,41.8,
Blackmon, Charlie,453568,2021,582,.761,.333,.358,87.6,7,38.5,
McCutchen, Andrew,457705,2021,574,.778,.335,.340,88.8,9,39.5,
Turner, Justin,457759,2021,612,.832,.358,.356,90.9,7.9,42.4,
Votto, Joey,458015,2021,533,.938,.391,.404,92.9,17.2,53.2,
Andrus, Elvis,462101,2021,541,.612,.270,.307,87.8,2.1,34.8,
Santana, Carlos,467793,2021,659,.660,.294,.333,89.9,6.8,41.9,
Lowrie, Jed,476704,2021,512,.717,.311,.340,90.7,9.3,45.9,
Brantley Jr., Michael,488726,2021,508,.799,.347,.360,89.5,5.8,42.9,
Gurriel, Yuli,493329,2021,605,.846,.363,.324,89.8,3.4,42,
Rojas, Miguel,500743,2021,539,.713,.311,.290,86.2,2.8,32.9,
Escobar, Eduardo,500871,2021,599,.786,.334,.327,87,8.9,34.5,
Pham, Tommy,502054,2021,561,.724,.318,.350,90.8,10,47.6,
Martinez, J.D.,502110,2021,634,.866,.364,.371,92.1,12.5,49.4,
Goldschmidt, Paul,502671,2021,679,.879,.373,.394,92.6,13.6,50.6,
Altuve, Jose,514888,2021,678,.839,.357,.330,87.6,6.4,34.9,
Hernandez, Cesar,514917,2021,637,.694,.302,.306,87.4,6.8,33.2,
Segura, Jean,516416,2021,567,.783,.338,.316,87.2,5.9,37.4,
Marte, Starling,516782,2021,526,.840,.364,.344,87.6,8.4,39.6,
Donaldson, Josh,518626,2021,543,.827,.353,.385,94.1,17.4,52.7,
Freeman, Freddie,518692,2021,695,.896,.379,.413,91.4,11.5,46.1,
LeMahieu, DJ,518934,2021,679,.711,.315,.337,90.6,3.7,43.5,
Rizzo, Anthony,519203,2021,576,.783,.339,.343,90.1,7.7,41.1,
Stanton, Giancarlo,519317,2021,579,.870,.370,.360,95.1,15.7,56.3,
Perez, Salvador,521692,2021,665,.859,.359,.371,93,16.3,56.2,
Garcia, Avisail,541645,2021,515,.820,.346,.364,90.4,12.2,46.4,
Villar, Jonathan,542340,2021,505,.737,.320,.304,88,7.4,34.9,
Aguilar, Jesus,542583,2021,510,.784,.334,.334,89.6,8.5,41,
Crawford, Brandon,543063,2021,549,.895,.377,.351,88.8,11.5,43.3,
Cron, C.J.,543068,2021,547,.905,.383,.365,88.8,11.5,42,
Grossman, Robbie,543257,2021,671,.771,.337,.331,87.8,7.6,34.1,
Harrison, Josh,543281,2021,558,.741,.325,.332,87.2,4.4,32.6,
Hosmer, Eric,543333,2021,565,.731,.319,.325,90.5,5.8,47,
Semien, Marcus,543760,2021,724,.873,.368,.329,89.7,9.8,41.3,
Grichuk, Randal,545341,2021,545,.703,.300,.292,89.8,8.5,41.1,
Harper, Bryce,547180,2021,599,1.042,.431,.427,92.5,18.1,49.7,
Abreu, Jose,547989,2021,659,.831,.354,.346,92,10.2,49.3,
Suarez, Eugenio,553993,2021,574,.713,.306,.323,89.1,15,39.8,
Schoop, Jonathan,570731,2021,674,.755,.324,.309,88.1,6.8,40.2,
Arenado, Nolan,571448,2021,653,.807,.336,.310,89,6.7,37.5,
Farmer, Kyle,571657,2021,529,.732,.316,.299,87.2,4.3,31.9,
Haniger, Mitch,571745,2021,691,.804,.340,.351,89.3,12.6,45.1,
Hernandez, Enrique,571771,2021,585,.786,.338,.345,90.8,8.4,43.2,
Muncy, Max,571970,2021,592,.895,.379,.405,91.2,16.1,46.6,
Seager, Kyle,572122,2021,670,.723,.308,.318,89,12.3,40.1,
Taylor, Michael A.,572191,2021,528,.652,.286,.298,89.4,6.6,40.2,
Yastrzemski, Mike,573262,2021,532,.767,.326,.314,89.5,10.3,39.3,
Iglesias, Jose,578428,2021,511,.701,.304,.296,85.4,3.4,28.6,
Bryant, Kris,592178,2021,586,.835,.356,.342,88.2,10.3,40,
Canha, Mark,592192,2021,625,.746,.333,.332,87.3,7.1,35.4,
Castellanos, Nick,592206,2021,585,.939,.391,.371,89.8,10.6,46.9,
Judge, Aaron,592450,2021,633,.916,.387,.413,95.8,17.6,58.4,
Machado, Manny,592518,2021,640,.836,.350,.376,93.1,13.3,52.2,
Realmuto, J.T.,592663,2021,537,.782,.336,.325,89.6,8.6,44.7,
Renfroe, Hunter,592669,2021,572,.816,.344,.351,90.1,14.4,44.3,
Merrifield, Whit,593160,2021,720,.711,.306,.300,86.8,3.5,28.8,
Bogaerts, Xander,593428,2021,603,.863,.368,.356,89.6,9.7,43,
Polanco, Jorge,593871,2021,644,.826,.349,.345,89.4,10.1,37.4,
Sano, Miguel,593934,2021,532,.778,.332,.320,93.4,17.7,55.9,
Duvall, Adam,594807,2021,555,.772,.324,.326,89.8,16.1,43.9,
Baez, Javier,595879,2021,547,.812,.344,.322,90.1,13.4,45.2,
Lindor, Francisco,596019,2021,524,.730,.317,.341,90.7,8.2,44.1,
Story, Trevor,596115,2021,595,.801,.341,.336,90.6,9.9,42.6,
Candelario, Jeimer,600869,2021,626,.795,.344,.355,88.7,9,39.1,
Bell, Josh,605137,2021,568,.823,.352,.361,92.5,8.8,52,
Betts, Mookie,605141,2021,550,.854,.365,.354,90.3,7.8,41,
Tapia, Raimel,606132,2021,533,.698,.305,.279,85.7,2.1,31.5,
Hernandez, Teoscar,606192,2021,595,.870,.369,.365,91.8,13.9,49,
Turner, Trea,607208,2021,646,.911,.386,.359,89.6,7.4,46.2,
Ramirez, Jose,608070,2021,636,.893,.372,.372,90,11.1,42.4,
Gallo, Joey,608336,2021,616,.808,.348,.351,91.5,18.5,45.8,
Swanson, Dansby,621020,2021,653,.760,.322,.328,89.3,11.4,42.7,
Newman, Kevin,621028,2021,554,.571,.249,.277,85.3,1.6,26,
Taylor, Chris,621035,2021,582,.782,.338,.327,88.2,10.2,38.1,
Correa, Carlos,621043,2021,640,.850,.364,.371,90.2,9.4,42.7,
Olson, Matt,621566,2021,673,.911,.379,.377,91.6,12.7,48.8,
Alonso, Pete,624413,2021,637,.863,.363,.373,91,14.8,47.3,
Frazier, Adam,624428,2021,639,.777,.341,.322,85.4,1,25.2,
Soler, Jorge,624585,2021,602,.744,.323,.356,91.2,12.7,47,
Cronenworth, Jake,630105,2021,643,.796,.341,.345,88.6,7.2,35,
Meadows, Austin,640457,2021,591,.772,.327,.324,89.3,8.7,37.9,
Anderson, Tim,641313,2021,551,.806,.345,.320,89.6,7.8,42.3,
Crawford, J.P.,641487,2021,687,.714,.314,.297,86.3,2.4,30.6,
Dozier, Hunter,641531,2021,543,.680,.293,.298,89.9,8.8,42.2,
Mancini III, Trey,641820,2021,616,.758,.326,.339,88.9,10.4,42,
McMahon, Ryan,641857,2021,596,.779,.334,.324,90.5,7.3,43.5,
O'Neill, Tyler,641933,2021,537,.912,.384,.389,93,17.9,52.2,
Rosario, Amed,642708,2021,588,.731,.315,.297,88.8,2.8,43.5,
Adames, Willy,642715,2021,555,.818,.349,.323,89.5,11.4,44.7,
Benintendi, Andrew,643217,2021,538,.766,.328,.328,89.6,8.9,43.2,
Kiner-Falefa, Isiah,643396,2021,677,.669,.293,.292,85.5,1.8,28.8,
Albies, Ozzie,645277,2021,686,.799,.336,.328,89.6,9.3,37.2,
Devers, Rafael,646240,2021,664,.890,.373,.389,92.9,15,51.8,
Urias, Luis,649966,2021,570,.787,.340,.332,87.9,9.3,40.5,
Torres, Gleyber,650402,2021,516,.695,.307,.330,87.1,7.8,35.7,
Diaz, Yandy,650490,2021,541,.740,.325,.331,89.9,7,40.6,
Chapman, Matt,656305,2021,622,.716,.311,.320,89.7,13.7,41.7,
Mullins II, Cedric,656775,2021,675,.877,.372,.343,89.4,8.1,39.4,
Smith, Pavin,656976,2021,545,.732,.318,.318,87.2,5.1,42.7,
Verdugo, Alex,657077,2021,604,.777,.334,.340,90,7.3,43.3,
Moncada, Yoan,660162,2021,616,.787,.347,.348,90.1,8.2,41.2,
Ohtani, Shohei,660271,2021,639,.965,.393,.406,93.6,22.3,53.6,
Riley, Austin,663586,2021,662,.898,.379,.363,90.2,13.3,45.7,
Mountcastle, Ryan,663624,2021,586,.796,.335,.326,89.1,11.8,39.7,
Tucker, Kyle,663656,2021,567,.915,.383,.394,91.4,11.6,47.5,
India, Jonathan,663697,2021,631,.834,.363,.354,87.6,9.6,38.7,
Grisham, Trent,663757,2021,527,.740,.320,.305,88.8,5.2,36.8,
Lowe, Nathaniel,663993,2021,642,.771,.337,.321,90.8,9.5,45.5,
Happ, Ian,664023,2021,535,.756,.328,.316,89.5,11.2,41.7,
France, Ty,664034,2021,650,.813,.353,.344,88.5,6.8,38.9,
Lowe, Brandon,664040,2021,615,.863,.363,.357,89.3,14,43.1,
Fletcher, David,664058,2021,665,.619,.273,.279,82.3,0,15.7,
Straw, Myles,664702,2021,638,.695,.311,.303,87.1,1.3,26.2,
Walsh, Jared,665120,2021,585,.850,.357,.324,89.6,11.3,41.3,
Tatis Jr., Fernando,665487,2021,546,.975,.403,.404,93.9,21.3,55.6,
Guerrero Jr., Vladimir,665489,2021,698,1.002,.419,.414,95.1,15.1,55.2,
Soto, Juan,665742,2021,654,.999,.420,.425,93,13.3,52.7,
Chisholm Jr., Jazz,665862,2021,507,.726,.312,.303,90.2,9,42,
Bichette, Bo,666182,2021,690,.828,.354,.353,91.4,9.9,47.5,
Carlson, Dylan,666185,2021,619,.780,.336,.318,88.2,7,31.1,
Garcia, Adolis,666969,2021,622,.741,.314,.298,91,11.5,45.5,
Gurriel Jr., Lourdes,666971,2021,541,.784,.333,.333,89.7,9.6,43,
