last_name, first_name,player_id,year,b_total_pa,b_k_percent,b_bb_percent,on_base_plus_slg,wobacon,xwobacon,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Ohtani, Shohei,660271,2021,41,26.8,2.4,1.109,.649,.631,94.5,27.3,54.5,
Trout, Mike,545361,2021,44,22.7,25.0,1.394,.759,.763,95.5,25,66.7,
Iglesias, Jose,578428,2021,40,22.5,2.5,.532,.310,.337,87,2.9,29.4,
Fletcher, David,664058,2021,47,10.6,4.3,.505,.231,.263,79.9,0,11.1,
Peralta, David,444482,2021,44,18.2,6.8,.640,.288,.292,89.2,5.7,34.3,
Cabrera, Asdrubal,452678,2021,38,10.5,21.1,.912,.381,.347,87,10,30,
Escobar, Eduardo,500871,2021,43,25.6,4.7,.769,.420,.400,85.2,14.7,32.4,
Galvis, Freddy,520471,2021,36,36.1,8.3,.410,.248,.297,84.9,0,20.8,
Santander, Anthony,623993,2021,34,29.4,2.9,.642,.369,.386,92.2,6.9,48.3,
Gonzalez, Marwin,503556,2021,35,17.1,11.4,.557,.232,.296,88,0,39.1,
Baez, Javier,595879,2021,39,43.6,2.6,.796,.516,.433,92,8.7,47.8,
Votto, Joey,458015,2021,43,11.6,4.7,.453,.248,.469,93.6,13.2,47.4,
Moustakas, Mike,519058,2021,40,10.0,17.5,.909,.411,.357,85.4,6.7,30,
Reyes, Franmil,614177,2021,36,25.0,5.6,1.111,.549,.556,95.1,23.1,61.5,
Hernandez, Cesar,514917,2021,39,20.5,12.8,.606,.241,.493,87.9,16.7,30,
Story, Trevor,596115,2021,45,13.3,6.7,.738,.338,.457,91.7,13.5,48.6,
Grossman, Robbie,543257,2021,38,23.7,26.3,.754,.299,.406,85.3,5,35,
Merrifield, Whit,593160,2021,37,16.2,5.4,1.124,.538,.409,90.9,6.5,38.7,
Santana, Carlos,467793,2021,36,22.2,16.7,.606,.230,.310,88.8,3.8,38.5,
Benintendi, Andrew,643217,2021,36,30.6,11.1,.465,.259,.313,88.4,0,25,
Soler, Jorge,624585,2021,34,47.1,14.7,.553,.363,.412,94,7.7,53.8,
Lux, Gavin,666158,2021,38,21.1,5.3,.606,.314,.339,90.2,0,40,
Muncy, Max,571970,2021,42,11.9,21.4,1.086,.541,.512,92,6.7,46.7,
Pollock, AJ,572041,2021,34,29.4,8.8,.584,.314,.352,89.4,4,40,
Taylor, Chris,621035,2021,34,26.5,20.6,.951,.554,.524,92.5,20,50,
