last_name, first_name,player_id,year,b_total_pa,on_base_plus_slg,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,
Ohtani, Shohei,660271,2021,41,1.109,.496,.484,94.5,27.3,54.5,
Trout, Mike,545361,2021,44,1.394,.521,.523,95.5,25,66.7,
Iglesias, Jose,578428,2021,40,.532,.255,.276,87,2.9,29.4,
Fletcher, David,664058,2021,47,.505,.226,.254,79.9,0,11.1,
Peralta, David,444482,2021,44,.640,.282,.286,89.2,5.7,34.3,
Cabrera, Asdrubal,452678,2021,38,.912,.405,.381,87,10,30,
Smith, Pavin,656976,2021,25,.560,.243,.248,86.3,0,42.1,
Escobar, Eduardo,500871,2021,43,.769,.334,.319,85.2,14.7,32.4,
Galvis, Freddy,520471,2021,36,.410,.207,.235,84.9,0,20.8,
Santander, Anthony,623993,2021,34,.642,.287,.298,92.2,6.9,48.3,
Gonzalez, Marwin,503556,2021,35,.557,.274,.316,88,0,39.1,
Baez, Javier,595879,2021,39,.796,.309,.265,92,8.7,47.8,
Votto, Joey,458015,2021,43,.453,.230,.409,93.6,13.2,47.4,
Senzel, Nick,669222,2021,32,.777,.315,.340,88.9,0,30.8,
Moustakas, Mike,519058,2021,40,.909,.408,.371,85.4,6.7,30,
Reyes, Franmil,614177,2021,36,1.111,.410,.414,95.1,23.1,61.5,
Hernandez, Cesar,514917,2021,39,.606,.260,.431,87.9,16.7,30,
Cron, C.J.,543068,2021,32,.503,.243,.263,84.7,5.6,22.2,
Story, Trevor,596115,2021,45,.738,.296,.390,91.7,13.5,48.6,
Grossman, Robbie,543257,2021,38,.754,.309,.360,85.3,5,35,
Ramos, Wilson,467092,2021,32,1.053,.498,.475,100.2,28.6,81,
Brantley Jr., Michael,488726,2021,28,1.201,.450,.501,91.3,20.8,50,
Merrifield, Whit,593160,2021,37,1.124,.453,.353,90.9,6.5,38.7,
Lopez, Nicky,670032,2021,29,.713,.297,.286,89,0,20.8,
Santana, Carlos,467793,2021,36,.606,.254,.306,88.8,3.8,38.5,
Benintendi, Andrew,643217,2021,36,.465,.243,.275,88.4,0,25,
Soler, Jorge,624585,2021,34,.553,.267,.285,94,7.7,53.8,
Lux, Gavin,666158,2021,38,.606,.257,.276,90.2,0,40,
Muncy, Max,571970,2021,42,1.086,.512,.492,92,6.7,46.7,
Pollock, AJ,572041,2021,34,.584,.262,.287,89.4,4,40,
Taylor, Chris,621035,2021,34,.951,.446,.431,92.5,20,50,
Murphy, Sean,669221,2021,27,.524,.258,.304,93.2,8.3,58.3,
Piscotty, Stephen,572039,2021,28,.655,.354,.369,90.8,11.1,50,
Frazier, Adam,624428,2021,41,.729,.358,.368,82.4,0,12.5,
Moran, Colin,592567,2021,43,.895,.403,.385,91.4,18.2,45.5,
Evans, Phillip,595943,2021,35,1.207,.502,.442,93.5,9.7,54.8,
Pham, Tommy,502054,2021,44,.385,.220,.381,90.9,11.8,47.1,
Myers, Wil,571976,2021,46,1.110,.465,.418,88,16.1,48.4,
Kim, Ha-Seong,673490,2021,31,.587,.263,.303,87.1,9.1,40.9,
Moore, Dylan,664238,2021,33,.492,.196,.268,87.8,14.3,28.6,
Crawford, J.P.,641487,2021,34,.447,.240,.226,84.9,0,27.3,
